2024-03-11 20:46:58,581 INFO    MainThread:24257 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_setup.py:_flush():76] Configure stats pid to 24257
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_setup.py:_flush():76] Loading settings from /home/users/krishnas/.config/wandb/settings
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_setup.py:_flush():76] Loading settings from /scratchi/KDSS/kdss_ml/wandb/settings
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'pipepine.py', 'program_abspath': '/scratchi/KDSS/kdss_ml/pipepine.py', 'program': '/scratchi/KDSS/kdss_ml/pipepine.py'}
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_init.py:_log_setup():526] Logging user logs to /scratchi/KDSS/kdss_ml/wandb/run-20240311_204658-gc7uwyhp/logs/debug.log
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_init.py:_log_setup():527] Logging internal logs to /scratchi/KDSS/kdss_ml/wandb/run-20240311_204658-gc7uwyhp/logs/debug-internal.log
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_init.py:init():566] calling init triggers
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'artifact_paths': {'cleaning': {'input_path': '/scratchi/KDSS/kdss_ml/artifacts/data/raw/master_pickle.pkl', 'output_path': '/scratchi/KDSS/kdss_ml/artifacts/data/preprocessed/processed_data.pkl'}, 'trained_models': {'path': '/scratchi/KDSS/kdss_ml/artifacts/trained_models/classifier.pkl'}}, 'featurize': {'train_test_split': {'seed': 42, 'val_size': 0.2, 'test_size': 0.2, 'stratify': ['crop', 'sowing_period', 'harvest_period']}, 'label_encode': {'target': 'crop', 'predictors': ['oct_1f', 'oct_2f', 'nov_1f', 'nov_2f', 'dec_1f', 'dec_2f', 'jan_1f', 'jan_2f', 'feb_1f', 'feb_2f', 'mar_1f', 'mar_2f', 'apr_1f', 'apr_2f']}, 'scaler_type': 'StandardScaler'}, 'train': {'target': 'crop', 'model_type': 'XGBClassifier', 'raw_metric': 'precision', 'tuning_metric_type': 'harmonic_mean', 'seed': 42, 'n_estimators': [10, 100], 'learning_rate': [0.01, 0.6], 'max_depth': [1, 10]}, 'splits': {}, 'cleaning': {'output_path': '/scratchi/KDSS/kdss_ml/data/rabi_v1.0'}}
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_init.py:init():616] starting backend
2024-03-11 20:46:58,582 INFO    MainThread:24257 [wandb_init.py:init():620] setting up manager
2024-03-11 20:46:58,590 INFO    MainThread:24257 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-11 20:46:58,592 INFO    MainThread:24257 [wandb_init.py:init():628] backend started and connected
2024-03-11 20:46:58,609 INFO    MainThread:24257 [wandb_init.py:init():720] updated telemetry
2024-03-11 20:46:58,611 INFO    MainThread:24257 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-11 20:46:59,301 INFO    MainThread:24257 [wandb_run.py:_on_init():2262] communicating current version
2024-03-11 20:46:59,353 INFO    MainThread:24257 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-11 20:46:59,353 INFO    MainThread:24257 [wandb_init.py:init():804] starting run threads in backend
2024-03-11 20:47:03,652 INFO    MainThread:24257 [wandb_run.py:_console_start():2241] atexit reg
2024-03-11 20:47:03,653 INFO    MainThread:24257 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-11 20:47:03,653 INFO    MainThread:24257 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-11 20:47:03,653 INFO    MainThread:24257 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-11 20:47:03,654 INFO    MainThread:24257 [wandb_init.py:init():847] run started, returning control to user process
2024-03-11 20:47:39,596 INFO    MainThread:24257 [wandb_run.py:_finish():1970] finishing run wadhwani/KDSS/gc7uwyhp
2024-03-11 20:47:39,597 INFO    MainThread:24257 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-03-11 20:47:39,597 INFO    MainThread:24257 [wandb_run.py:_restore():2193] restore
2024-03-11 20:47:39,597 INFO    MainThread:24257 [wandb_run.py:_restore():2199] restore done
2024-03-11 20:47:46,431 INFO    MainThread:24257 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-03-11 20:47:46,432 INFO    MainThread:24257 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-03-11 20:47:46,438 INFO    MainThread:24257 [wandb_run.py:_footer_sync_info():3825] logging synced files
